Edition,Rank,Country,Country Group,Gold,Silver,Bronze,Total
1896,1,United States,United States,11,7,2,20
1896,2,Greece,Greece,10,17,19,46
1896,3,Germany,Germany,6,5,2,13
1896,4,France,France,5,4,2,11
1896,5,Great Britain,Great Britain,2,3,2,7
1896,6,Hungary,Hungary,2,1,3,6
1896,7,Austria,Austria,2,1,2,5
1896,8,Australia,Australia,2,,,2
1896,9,Denmark,Denmark,1,2,3,6
1896,10,Switzerland,Switzerland,1,2,,3
1896,11,Mixed team,Mixed team,1,1,1,3
1900,1,France,France,26,41,34,101
1900,2,United States,United States,19,14,14,47
1900,3,Great Britain,Great Britain,15,6,9,30
1900,4,Mixed team,Mixed team,6,3,3,12
1900,5,Switzerland,Switzerland,6,2,1,9
1900,6,Belgium,Belgium,5,5,5,15
1900,7,Germany,Germany,4,2,2,8
1900,8,Italy,Italy,2,2,,4
1900,9,Australia,Australia,2,,3,5
1900,10,Denmark,Denmark,1,3,2,6
1900,11,Hungary,Hungary,1,2,2,5
1900,12,Cuba,Cuba,1,1,,2
1900,13,Canada,Canada,1,,1,2
1900,14,Spain,Spain,1,,,1
1900,15,Austria,Austria,,3,3,6
1900,16,Norway,Norway,,2,3,5
1900,17,India,India,,2,,2
1900,18,Netherlands,Netherlands,,1,3,4
1900,19,Bohemia,Czech Republic,,1,1,2
1900,20,Mexico,Mexico,,,1,1
1904,1,United States,United States,78,82,79,239
1904,2,Germany,Germany,4,4,5,13
1904,3,Cuba,Cuba,4,2,3,9
1904,4,Canada,Canada,4,1,1,6
1904,5,Hungary,Hungary,2,1,1,4
1904,6,Great Britain,Great Britain,1,1,,2
1904,8,Greece,Greece,1,,1,2
1904,10,Austria,Austria,,,1,1
1908,1,Great Britain,Great Britain,56,51,39,146
1908,2,United States,United States,23,12,12,47
1908,3,Sweden,Sweden,8,6,11,25
1908,4,France,France,5,5,9,19
1908,5,Germany,Germany,3,5,5,13
1908,6,Hungary,Hungary,3,4,2,9
1908,7,Canada,Canada,3,3,10,16
1908,8,Norway,Norway,2,3,3,8
1908,9,Italy,Italy,2,2,,4
1908,10,Belgium,Belgium,1,5,2,8
1908,11,Australasia,Australasia,1,2,2,5
1908,12,Russian Empire,Russia,1,2,,3
1908,13,Finland,Finland,1,1,3,5
1908,14,South Africa,South Africa,1,1,,2
1908,15,Greece,Greece,,3,1,4
1908,16,Denmark,Denmark,,2,3,5
1908,17,Bohemia,Czech Republic,,,2,2
1908,19,Austria,Austria,,,1,1
1912,1,United States,United States,25,19,19,63
1912,2,Sweden,Sweden,24,24,17,65
1912,3,Great Britain,Great Britain,10,15,16,41
1912,4,Finland,Finland,9,8,9,26
1912,5,France,France,7,4,3,14
1912,6,Germany,Germany,5,13,7,25
1912,7,South Africa,South Africa,4,2,,6
1912,8,Norway,Norway,4,1,4,9
1912,9,Canada,Canada,3,2,3,8
1912,11,Italy,Italy,3,1,2,6
1912,12,Australasia,Australasia,2,2,3,7
1912,13,Belgium,Belgium,2,1,3,6
1912,14,Denmark,Denmark,1,6,5,12
1912,15,Greece,Greece,1,,1,2
1912,16,Russian Empire,Russia,,2,3,5
1912,17,Austria,Austria,,2,2,4
1912,18,Netherlands,Netherlands,,,3,3
1920,1,United States,United States,41,27,27,95
1920,2,Sweden,Sweden,19,20,25,64
1920,3,Great Britain,Great Britain,15,15,13,43
1920,4,Finland,Finland,15,10,9,34
1920,5,Belgium,Belgium,14,11,11,36
1920,6,Norway,Norway,13,9,9,31
1920,7,Italy,Italy,13,5,5,23
1920,8,France,France,9,19,13,41
1920,9,Netherlands,Netherlands,4,2,5,11
1920,10,Denmark,Denmark,3,9,1,13
1920,11,South Africa,South Africa,3,4,3,10
1920,12,Canada,Canada,3,3,3,9
1920,13,Switzerland,Switzerland,2,2,7,11
1920,14,Estonia,Estonia,1,2,,3
1920,15,Brazil,Brazil,1,1,1,3
1920,16,Australia,Australia,,2,1,3
1920,17,Japan,Japan,,2,,2
1920,17,Spain,Spain,,2,,2
1920,19,Greece,Greece,,1,,1
1920,19,Luxembourg,Luxembourg,,1,,1
1920,21,Czechoslovakia,Czech Republic,,,2,2
1920,22,New Zealand,New Zealand,,,1,1
1924,1,United States,United States,45,27,27,99
1924,2,Finland,Finland,14,13,10,37
1924,3,France,France,13,15,10,38
1924,4,Great Britain,Great Britain,9,13,12,34
1924,5,Italy,Italy,8,3,5,16
1924,6,Switzerland,Switzerland,7,8,10,25
1924,7,Norway,Norway,5,2,3,10
1924,8,Sweden,Sweden,4,13,12,29
1924,9,Netherlands,Netherlands,4,1,5,10
1924,10,Belgium,Belgium,3,7,3,13
1924,11,Australia,Australia,3,1,2,6
1924,12,Denmark,Denmark,2,5,2,9
1924,13,Hungary,Hungary,2,3,4,9
1924,14,Yugoslavia,Serbia,2,,,2
1924,15,Czechoslovakia,Czech Republic,1,4,5,10
1924,16,Argentina,Argentina,1,3,2,6
1924,17,Estonia,Estonia,1,1,4,6
1924,18,South Africa,South Africa,1,1,1,3
1924,19,Uruguay,Uruguay,1,,,1
1924,20,Austria,Austria,,3,1,4
1924,22,Poland,Poland,,1,1,2
1924,23,Haiti,Haiti,,,1,1
1928,1,United States,United States,22,18,16,56
1928,2,Germany,Germany,10,7,14,31
1928,3,Finland,Finland,8,8,9,25
1928,4,Sweden,Sweden,7,6,12,25
1928,5,Italy,Italy,7,5,7,19
1928,6,Switzerland,Switzerland,7,4,4,15
1928,7,France,France,6,10,5,21
1928,8,Netherlands,Netherlands,6,9,4,19
1928,9,Hungary,Hungary,4,5,,9
1928,10,Canada,Canada,4,4,7,15
1928,11,Great Britain,Great Britain,3,10,7,20
1928,12,Argentina,Argentina,3,3,1,7
1928,13,Denmark,Denmark,3,1,2,6
1928,14,Czechoslovakia,Czech Republic,2,5,2,9
1928,15,Japan,Japan,2,2,1,5
1928,16,Estonia,Estonia,2,1,2,5
1928,17,Egypt,Egypt,2,1,1,4
1928,18,Austria,Austria,2,,1,3
1928,19,Australia,Australia,1,2,1,4
1928,21,Poland,Poland,1,1,3,5
1928,23,South Africa,South Africa,1,,2,3
1928,24,India,India,1,,,1
1928,29,Belgium,Belgium,,1,2,3
1928,30,Chile,Chile,,1,,1
1928,32,Philippines,Philippines,,,1,1
1932,1,United States,United States,41,32,30,103
1932,2,Italy,Italy,12,12,12,36
1932,3,France,France,10,5,4,19
1932,4,Sweden,Sweden,9,5,9,23
1932,5,Japan,Japan,7,7,4,18
1932,6,Hungary,Hungary,6,4,5,15
1932,7,Finland,Finland,5,8,12,25
1932,8,Great Britain,Great Britain,4,7,5,16
1932,9,Germany,Germany,3,12,5,20
1932,10,Australia,Australia,3,1,1,5
1932,11,Argentina,Argentina,3,1,,4
1932,12,Canada,Canada,2,5,8,15
1932,13,Netherlands,Netherlands,2,5,,7
1932,14,Poland,Poland,2,1,4,7
1932,15,South Africa,South Africa,2,,3,5
1932,16,Ireland,Ireland,2,,,2
1932,17,Czechoslovakia,Czech Republic,1,2,1,4
1932,18,Austria,Austria,1,1,3,5
1932,19,India,India,1,,,1
1932,20,Denmark,Denmark,,3,3,6
1932,21,Mexico,Mexico,,2,,2
1932,22,Latvia,Latvia,,1,,1
1932,25,Philippines,Philippines,,,3,3
1932,26,Spain,Spain,,,1,1
1936,1,Germany,Germany,33,26,30,89
1936,2,United States,United States,24,20,12,56
1936,3,Hungary,Hungary,10,1,5,16
1936,4,Italy,Italy,8,9,5,22
1936,5,Finland,Finland,7,6,6,19
1936,5,France,France,7,6,6,19
1936,7,Sweden,Sweden,6,5,9,20
1936,8,Japan,Japan,6,4,8,18
1936,9,Netherlands,Netherlands,6,4,7,17
1936,10,Great Britain,Great Britain,4,7,3,14
1936,11,Austria,Austria,4,6,3,13
1936,12,Czechoslovakia,Czech Republic,3,5,,8
1936,13,Argentina,Argentina,2,2,3,7
1936,13,Estonia,Estonia,2,2,3,7
1936,15,Egypt,Egypt,2,1,2,5
1936,16,Switzerland,Switzerland,1,9,5,15
1936,17,Canada,Canada,1,3,5,9
1936,18,Norway,Norway,1,3,2,6
1936,19,Turkey,Turkey,1,,1,2
1936,20,India,India,1,,,1
1936,20,New Zealand,New Zealand,1,,,1
1936,22,Poland,Poland,,3,3,6
1936,23,Denmark,Denmark,,2,3,5
1936,24,Latvia,Latvia,,1,1,2
1936,25,Romania,Romania,,1,,1
1936,25,South Africa,South Africa,,1,,1
1936,25,Yugoslavia,Serbia,,1,,1
1936,28,Mexico,Mexico,,,3,3
1936,29,Belgium,Belgium,,,2,2
1936,30,Australia,Australia,,,1,1
1936,30,Philippines,Philippines,,,1,1
1936,30,Portugal,Portugal,,,1,1
1948,1,United States,United States,38,27,19,84
1948,2,Sweden,Sweden,16,11,17,44
1948,3,France,France,10,6,13,29
1948,4,Hungary,Hungary,10,5,12,27
1948,5,Italy,Italy,8,11,8,27
1948,6,Finland,Finland,8,7,5,20
1948,7,Turkey,Turkey,6,4,2,12
1948,8,Czechoslovakia,Czech Republic,6,2,3,11
1948,9,Switzerland,Switzerland,5,10,5,20
1948,10,Denmark,Denmark,5,7,8,20
1948,11,Netherlands,Netherlands,5,2,9,16
1948,12,Great Britain,Great Britain,3,14,6,23
1948,13,Argentina,Argentina,3,3,1,7
1948,14,Australia,Australia,2,6,5,13
1948,15,Belgium,Belgium,2,2,3,7
1948,16,Egypt,Egypt,2,2,1,5
1948,17,Mexico,Mexico,2,1,2,5
